Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2018-12-31 22:05:01.482412,Humenné Nám. slobody,55,x,9,10,16,14,x,x,x
2018-12-31 22:05:01.482412,Stará Lesná Aú SAV EMEP,61,x,4,6,*,*,x,x,x
2018-12-31 22:05:01.482412,Gánovce Meteo. st,49,x,9,12,x,x,x,x,x
2018-12-31 22:05:01.482412,Prešov Arm.gen. ľ. Svobod,x,x,25,41,11,6,446,0.8,x
2018-12-31 22:05:01.482412,Starina Vodná nádrž EMEP,*,x,2,4,x,x,x,x,1.8
2018-12-31 22:05:01.482412,Kolonické sedlo,x,x,x,x,*,*,x,x,x
2018-12-31 22:05:01.482412,Vranov nad Top. M.R.štefánika,x,11,x,x,10,9,x,x,x
2018-12-31 23:05:02.101849,Bratislava Trnavské Mýto,x,x,40,67,20,x,347,0.5,x
2018-12-31 23:05:02.101849,Bratislava Kamenné nám.,x,x,x,x,20,14,x,x,x
2018-12-31 23:05:02.101849,Bratislava Jeséniova,55,x,11,12,*,*,x,x,x
2018-12-31 23:05:02.101849,Bratislava Mamateyova,34,*,30,32,*,*,x,x,x
2018-12-31 23:05:02.101849,Malacky Mierové námestie,x,10,33,47,53,44,659,2.1,x
2018-12-31 23:05:02.101849,Nitra štúrova,x,25,27,38,17,11,317,0.4,x
2018-12-31 23:05:02.101849,Nitra Janíkovce,53,x,7,10,*,*,x,x,x
2018-12-31 23:05:02.101849,Topoľníky Aszód EMEP,57,5,4,4,*,*,x,x,1.2
2018-12-31 23:05:02.101849,Senica Hviezdoslavova,x,26,x,x,57,46,x,x,x
2018-12-31 23:05:02.101849,Trnava Kollárova,x,x,27,44,18,14,638,0.8,x
2018-12-31 23:05:02.101849,Trenčín Hasičská,x,*,32,54,34,22,287,1.4,x
2018-12-31 23:05:02.101849,Bystričany Rozvodňa SSE,x,5,x,x,15,19,x,x,x
2018-12-31 23:05:02.101849,Handlová Morovianska cesta,x,18,x,x,25,24,x,x,x
2018-12-31 23:05:02.101849,Prievidza Malonecpalská,*,9,10,11,34,22,x,x,x
2018-12-31 23:05:02.101849,Banská Bystrica štefánikovo nábrežie,x,4,20,36,13,14,128,0.5,x
2018-12-31 23:05:02.101849,Banská Bystrica Zelená,62,x,3,4,12,4,x,x,x
2018-12-31 23:05:02.101849,Jelšava Jesenského,4,x,32,45,103,85,x,x,x
2018-12-31 23:05:02.101849,Hnúšta Hlavná,x,x,x,x,92,90,x,x,x
2018-12-31 23:05:02.101849,Zvolen J. Alexyho,x,x,x,x,25,25,x,x,x
