Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2023-06-26 07:06:02.132859,Bratislava Trnavské Mýto,15,8,x,x,216,35,57,1.4,x
2023-06-26 07:06:02.132859,Bratislava Púchovská,17,3,x,5,247,19,23,0.8,x
2023-06-26 07:06:02.132859,Bratislava Padlých hrdinov mobilná AMS,18,10,x,x,174,31,38,x,x
2023-06-26 07:06:02.132859,Bratislava Mamateyova,12,7,40,6,x,21,23,x,x
2023-06-26 07:06:02.132859,Bratislava Kamenné nám.,PDL,PDL,x,x,x,x,x,x,x
2023-06-26 07:06:02.132859,Bratislava Jeséniova,12,7,95,2,x,2,2,x,x
2023-06-26 07:06:02.132859,Bardejov Pod Vinbargom,22,11,20,x,x,15,19,x,x
2023-06-26 07:06:02.132859,Banská Bystrica Štefánikovo nábrežie,26,10,x,6,570,23,56,0.5,x
2023-06-26 07:06:02.132859,Banská Bystrica Zelená,10,11,*,x,x,6,8,x,x
2023-06-26 06:06:01.676356,Žilina Obežná,6,8,17,x,446,9,12,x,x
2023-06-26 06:06:01.676356,Žiar nad Hronom Jilemnického,10,9,x,x,x,x,x,x,x
2023-06-26 06:06:01.676356,Žarnovica Dolná,13,*,x,x,x,3,6,x,x
2023-06-26 06:06:01.676356,Zvolen J. Alexyho,18,13,x,x,x,x,x,x,x
2023-06-26 06:06:01.676356,Vranov nad Top. M. R. Štefánika,18,12,x,4,x,x,x,x,x
2023-06-26 06:06:01.676356,Veľká Ida Letná,18,13,x,x,306,x,x,x,x
2023-06-26 06:06:01.676356,Trnava Kollárova,12,8,x,x,437,28,51,0.2,x
2023-06-26 06:06:01.676356,Trenčín Hasičská,16,9,x,3,183,12,14,0.2,x
2023-06-26 06:06:01.676356,Trebišov T. G. Masaryka,20,13,44,x,x,8,10,x,x
2023-06-26 06:06:01.676356,Topoľníky Aszód EMEP,11,8,60,4,x,*,*,x,PDL
2023-06-26 06:06:01.676356,Strážske Mierová,20,13,x,x,x,x,x,x,x
2023-06-26 06:06:01.676356,Stará Lesná AÚ SAV EMEP,14,12,*,x,x,2,3,x,x
2023-06-26 06:06:01.676356,Starina Vodná nádrž EMEP,x,x,30,x,x,1,1,x,1.1
2023-06-26 06:06:01.676356,Sereď Vinárska,12,9,x,x,x,11,13,x,x
2023-06-26 06:06:01.676356,Senica Hviezdoslavova,*,*,x,13,x,x,x,x,x
